PERMNO,TICKER,startdate,enddate
10104,ORCL,19930104,20211231
10107,MSFT,19930104,20211231
10145,ALD,19930104,19991201
10145,HON,19991202,20211231
10147,EMC,19930104,20160907
10401,T,19930104,20051121
10604,ARC,19930104,20000418
10786,BS,19930104,20020611
10874,BC,19930104,20211231
10890,UIS,19930104,20211231
11081,DELL,19930104,20131030
11308,KO,19930104,20211231
11552,CELG,19930104,20191121
11703,DD,19930104,20170901
11754,EK,19930104,20120118
11850,XOM,19991201,20211231
11850,XON,19930104,19991130
12052,GD,19930104,20211231
12060,GE,19930104,20211231
12079,GM,19930104,20090601
12319,HM,19930104,20011217
12369,GM,20101118,20211231
12490,IBM,19930104,20211231
12511,IMA,19930104,19940315
12511,MKG,19940316,20001018
12558,KMI,20110211,20211231
12749,KM,19930104,20021218
13100,MA,19930104,19960823
13100,MAY,19960826,20050830
13407,FB,20120518,20211231
13721,ABBV,20130102,20211231
13856,PEP,19930104,20211231
13901,MO,19930104,20211231
13928,COP,20020903,20211231
13928,P,19930104,20020830
14008,AMGN,19930104,20211231
14277,SLB,19930104,20211231
14322,S,19930104,20050328
14541,CHV,19930104,20011009
14541,CVX,20011010,20211231
14542,GOOG,20140403,20211231
14593,AAPL,19930104,20211231
15368,CBS,19971201,20000504
15368,WX,19930104,19971128
15408,KHC,20150706,20211231
15488,PYPL,20150720,20211231
15560,RSH,20000531,20150202
15560,TAN,19930104,20000530
15579,TXN,19930104,20211231
15667,AHP,19930104,20020308
15667,WYE,20020311,20091016
16087,FTV,20160705,20211231
16267,DVMT,20160907,20181228
16276,ASIX,20161003,20211231
16347,AA,20161101,20211231
16424,G,19930104,20051003
17005,CVS,19961016,20211231
17005,MES,19930104,19961015
17830,RTX,20200403,20211231
17830,UTX,19930104,20200402
18163,PG,19930104,20211231
18382,MTC,19930104,20000331
18382,PHA,20000403,20030416
18411,SO,19930104,20211231
18542,CAT,19930104,20211231
18729,CL,19930104,20211231
19393,BMY,19930104,20211231
19502,WAG,19930104,20141230
19502,WBA,20141231,20211231
19561,BA,19930104,20211231
20220,BDK,19930104,20100315
20482,ABT,19930104,20211231
20626,DOW,19930104,20170901
20853,CWE,19930104,19940831
20853,UCM,19940901,20001023
21178,LK,19930104,19950315
21178,LMT,19950316,20211231
21397,CHA,19930104,20000621
21573,IP,19930104,20211231
21776,EXC,20001017,20211231
21776,PE,19930104,20001016
21936,PFE,19930104,20211231
22103,EMR,19930104,20211231
22111,JNJ,19930104,20211231
22592,MMM,19930104,20211231
22752,MRK,19930104,20211231
22840,HSH,20120629,20140829
22840,SLE,19930104,20120628
23077,HNZ,19930104,20130610
23317,ENE,19930104,20020111
23819,HAL,19930104,20211231
24010,ETR,19930104,20211231
24046,CCU,19930104,20080731
24109,AEP,19930104,20211231
24205,FPL,19930104,20100622
24205,NEE,20100623,20211231
24942,RTN,19930104,20200403
25013,SGP,19930104,20091104
25320,CPB,19930104,20211231
25785,F,19930104,20211231
26112,DAL,19930104,20051012
26403,DIS,19930104,20211231
26438,PRD,19930104,20011009
27828,HPQ,20020506,20211231
27828,HWP,19930104,20020503
27887,BAX,19930104,20211231
27959,DUK,19930104,20211231
28353,RAL,19930104,20011213
34833,OXY,19930104,20211231
35044,FABC,19930104,19940429
35044,RF,20020503,20211231
35044,RGBK,19940502,20020502
36469,FTU,19930104,20010831
36469,WB,20010904,20090102
38156,WMB,19930104,20211231
38703,NOB,19930104,19981102
38703,WFC,19981103,20211231
38893,CGP,19930104,20010130
38914,CEN,19930104,20071109
39087,FON,19930104,20050812
39087,S,20050815,20130711
39490,APA,19930104,20211231
39917,WY,19930104,20211231
40061,TEK,19930104,20071123
40272,IFF,19930104,20211231
40416,AVP,19930104,20200106
42024,BCC,19930104,20041029
42024,OMX,20041101,20131106
43123,ALT,19960816,19991129
43123,ATI,19991130,20211231
43123,TDY,19930104,19960815
43449,MCD,19930104,20211231
45356,JCI,20160906,20211231
45356,TYC,19930104,20160902
47896,CHL,19930104,19960329
47896,CMB,19960401,20001229
47896,JPM,20010102,20211231
48071,JPM,19930104,20010102
48397,AGC,19930104,20010829
48725,UNP,19930104,20211231
49154,DH,19930104,20000128
49154,TGT,20000131,20211231
49656,BK,19930104,20211231
49680,DHR,19930104,20211231
50227,BNI,19930104,20100216
50876,LLY,19930104,20211231
51377,NSM,19930104,20110926
52919,MER,19930104,20090102
55976,WMT,19930104,20211231
57665,NKE,19930104,20211231
58640,NT,19930104,20090113
59176,AXP,19930104,20211231
59184,BUD,19930104,20081118
59328,INTC,19930104,20211231
59408,BAC,19981001,20211231
59408,NB,19930104,19980930
59459,SPC,19930104,20040401
59459,STA,20040402,20070226
59459,TRV,20070227,20211231
60097,MDT,19930104,20211231
60628,FDX,19930104,20211231
61065,TOY,19930104,20050722
61399,LOW,19930104,20211231
64186,CI,19930104,20211231
64282,BBWI,20210803,20211231
64282,LB,20131202,20210802
64282,LTD,19930104,20131129
64311,NSC,19930104,20211231
65138,ONE,19930104,20040701
65875,BEL,19930104,20000630
65875,VZ,20000703,20211231
66093,SBC,19930104,20051130
66093,T,20051201,20211231
66157,FBS,19930104,19970801
66157,USB,19970804,20211231
66181,HD,19930104,20211231
66800,AIG,19930104,20211231
69032,MS,19930104,20211231
69032,MWD,19970602,20060113
70332,APC,19930104,20190809
70519,C,19981204,20211231
70519,CCI,19981008,19981203
70519,PA,19930104,19931231
70519,TRV,19940103,19981007
75034,BHGE,20170705,20191017
75034,BHI,19930104,20170703
75034,BKR,20191018,20211231
76076,CSCO,19930104,20211231
76090,HET,19950703,20080128
76090,PRI,19930104,19950630
76171,CHOS,19930104,19930713
76171,COL,19930714,20000526
76171,HCA,20000530,20061120
76226,CBS,20060103,20191204
76226,VIA,19930104,20051230
76226,VIAC,20191205,20211231
76656,MEDI,19930104,20070619
76712,AES,19961016,20211231
76712,AESC,19930104,19961015
76841,BIIB,20031113,20211231
76841,IDPH,19930104,20031112
77178,QCOM,19930104,20211231
77274,GILD,19930104,20211231
77284,CALL,19930104,19970131
77284,NXTL,19970203,20050815
77418,AMER,19930104,19960913
77418,AOL,19960916,20031015
77418,TWX,20031016,20180615
77481,EP,20011231,20120525
77481,EPG,19930104,20011228
77702,SBUX,19930104,20211231
78916,ACT,20130124,20150612
78916,AGN,20150615,20200511
78916,WATS,19930217,19970916
78916,WPI,19970917,20130123
79323,ALL,19930603,20211231
80100,SPG,19931214,20211231
80599,LEH,19940531,20080917
81055,COF,19941116,20211231
81774,FCX,19950731,20211231
82647,PNU,19951103,20000403
82775,HIG,19951220,20211231
83332,LU,19960404,20061201
83443,BRK,19960509,20211231
84032,NOI,19961029,20050311
84032,NOV,20050314,20211231
84381,ROK,19961216,20211231
84788,AMZN,19970515,20211231
86326,GBLX,19980814,20001103
86326,GX,20001106,20020130
86356,EBAY,19980924,20211231
86783,BKNG,20180227,20211231
86783,PCLN,19990330,20180226
86868,GS,19990504,20211231
87055,COST,19930104,20211231
87055,PCCW,19931022,19970205
87137,DVN,19990818,20211231
87267,BLK,19991001,20211231
87447,UPS,19991110,20211231
